# Lantern Extractor 0.2 - Object Instances
# Format: ModelName, PosX, PosY, PosZ, RotX, RotY, RotZ, ScaleX, ScaleY, ScaleZ, ColorIndex
qoutpost,1049.331,30.58962,-872.2873,0,-90.70313,0,1,1,1,0
house1,1393.998,-4.657854,289.8975,0,-180,0,1,1,1,3
torch1,1035.929,39.08962,-880.3563,0,-20.39063,0,1,1,1,6
torch1,1057.055,38.30898,-851.2403,0,-91.40625,0,1,1,1,9
torch1,3393.077,3.049057,-1037.402,0,-88.59375,0,1,1,1,12
torch1,3417.412,4.462535,-1037.352,0,-86.48438,0,1,1,1,15
torch1,5081.468,0.1633801,175.6163,0,-180,0,1,1,1,18
torch1,5081.327,0.1519036,218.2236,0,-181.4063,0,1,1,1,21
campfire,4992.708,-7.462292,114.6948,0,-327.6563,0,1,1,1,24
recttable,1370.5,4.092009,270.736,0,-270,0,1,1,1,27
barrel3,1418.584,4.092009,306.9598,0,-72.42188,0,1,1,1,30
barrel3,1418.585,4.092009,311.4751,0,-41.48438,0,1,1,1,33
squaretable,1417.065,4.092009,270.0709,0,0,0,1,1,1,36
barrel3,1361.278,-2.974776,274.6158,0,-18.98438,0,1,1,1,39
qeyflag,1036.324,27.66562,-835.1356,0,-229.9219,0,1,1,1,42
treetry,3290,1.78714,999,0,-7.03125,0,1,1,1,45
treetry,3248,35.49371,822,0,-7.03125,0,1,1,1,48
treetry,3780,31.9605,1147,0,-7.03125,0,1.25,1.25,1.25,51
treetry,3422,32.31911,1130,0,-7.03125,0,1,1,1,54
treetry,3210,-9.040826,706,0,-7.03125,0,1,1,1,57
bpine1,3861,-3.047206,904,0,-7.03125,0,0.5,0.5,0.5,60
shak,3777.337,-24.33177,958.5611,0,-71.01563,0,1,1,1,63
treetry,4959,24.48113,618,0,-343.125,0,1.35,1.35,1.35,66
treetry,4965,13.81604,513,0,-343.125,0,1.25,1.25,1.25,69
treetry,4898,11.65304,494,0,-90,0,0.75,0.75,0.75,72
bpine1,4924,2.250942,435,0,-343.125,0,0.55,0.55,0.55,75
bpine1,5065,38.70328,596,0,-343.125,0,0.55,0.55,0.55,78
bpine1,4954,86.98415,1043,0,-343.125,0,1.5,1.5,1.5,81
bpine1,5019,25.70346,522,0,-343.125,0,1,1,1,84
treetry,4023,34.37281,842,0,-36.5625,0,1,1,1,87
treetry,4218,81.37162,1218,0,-36.5625,0,1,1,1,90
treetry,3941,35.0163,563,0,-36.5625,0,1,1,1,93
bpine1,3933,49.95559,820,0,-36.5625,0,1.25,1.25,1.25,96
bpine1,3650,99.35822,1234,0,-36.5625,0,0.55,0.55,0.55,99
bpine1,3850,42.13758,561,0,-36.5625,0,1,1,1,102
bpine1,3939,3.697356,1102,0,-36.5625,0,0.5,0.5,0.5,105
bpine1,4142,19.20968,863,0,-36.5625,0,1,1,1,108
treetry,2244,40.80885,764,0,-2.8125,0,1,1,1,111
treetry,2979,14.97539,823,0,-2.8125,0,1,1,1,114
treetry,2511,74.50695,1124,0,-180,0,0.75,0.75,0.75,117
treetry,2601,106.9869,1244,0,-2.8125,0,1.25,1.25,1.25,120
treetry,2782,-55.17466,1045,0,-2.8125,0,1.5,1.5,1.5,123
bpine1,2429,63.45846,1079,0,-2.8125,0,1,1,1,126
bpine1,2650,-76.24173,872,0,-2.8125,0,1,1,1,129
bpine1,2343,103.433,1228,0,-2.8125,0,0.5,0.5,0.5,132
treetry,449,15.99784,1073,0,-190.5469,0,0.65,0.65,0.65,135
treetry,419,15.61683,1028,0,-190.5469,0,1,1,1,138
treetry,504,33.94975,905,0,-190.5469,0,1,1,1,141
treetry,808,2.68983,1132,0,-190.5469,0,1,1,1,144
bpine1,164,-7.842995,769,0,-190.5469,0,0.75,0.75,0.75,147
bpine1,420,-1.839407,1100,0,-218.6719,0,1.35,1.35,1.35,150
bpine1,482,23.88769,874,0,-190.5469,0,1,1,1,153
bpine1,594,48.43223,817,0,-190.5469,0,0.55,0.55,0.55,156
treetry,1072,93.23367,682,0,-68.20313,0,1,1,1,159
treetry,957,73.12621,851,0,-68.20313,0,1,1,1,162
treetry,1085,47.65849,959,0,-68.20313,0,1,1,1,165
treetry,974,75.52026,653,0,-68.20313,0,0.65,0.65,0.65,168
treetry,1126,101.7607,743,0,-68.20313,0,0.55,0.55,0.55,171
bpine1,1153,95.33468,736,0,-68.20313,0,0.8,0.8,0.8,174
bpine1,1112,89.99221,830,0,-68.20313,0,1.5,1.5,1.5,177
bpine1,1497,-29.81764,928,0,-68.20313,0,1.25,1.25,1.25,180
bpine1,1328,26.26376,779,0,-68.20313,0,0.65,0.65,0.65,183
treetry,956,12.15536,-175,0,-317.8125,0,1,1,1,186
treetry,490,2.71712,-707,0,-317.8125,0,2,2,2,189
treetry,1245,91.79234,-351,0,-317.8125,0,1,1,1,192
treetry,589,20.7158,-679,0,-317.8125,0,1,1,1,195
bpine1,902,10.95739,-1045,0,-317.8125,0,0.55,0.55,0.55,198
bpine1,770,21.74539,-382,0,-317.8125,0,1,1,1,201
bpine1,734,51.92839,-684,0,-317.8125,0,1,1,1,204
bpine1,657,92.21329,-957,0,-317.8125,0,1,1,1,207
bpine1,782,13.5462,-465,0,-317.8125,0,0.4,0.4,0.4,210
treetry,1278.75,4.981589,-1002.75,0,-278.4375,0,1,1,1,213
treetry,1711,94.78506,-1132,0,-278.4375,0,1,1,1,216
treetry,992,86.02029,-1196,0,-278.4375,0,1,1,1,219
bpine1,1292,20.67306,-738,0,-278.4375,0,1,1,1,222
bpine1,1313,0.208934,-974,0,-278.4375,0,0.75,0.75,0.75,225
bpine1,950,87.35851,-1215,0,-278.4375,0,1,1,1,228
treetry,1818,44.15034,-408,0,-0.703125,0,1,1,1,231
treetry,1745,111.3593,-181,0,-0.703125,0,1,1,1,234
treetry,1757,96.2187,-278,0,-0.703125,0,1,1,1,237
treetry,1892,95.29802,-209,0,-0.703125,0,1,1,1,240
treetry,1893,99.85722,-192,0,-0.703125,0,0.5,0.5,0.5,243
bpine1,1739,39.02481,-454,0,-0.703125,0,1,1,1,246
bpine1,1960,73.92879,-268,0,-0.703125,0,1,1,1,249
bpine1,2250,48.60518,-179,0,-0.703125,0,1,1,1,252
bpine1,1704,-6.848076,-645,0,-0.703125,0,1,1,1,255
bpine1,1892,111.9544,-113,0,-0.703125,0,1,1,1,258
treetry,2280,0.918989,-968,0,-155.3906,0,1,1,1,261
treetry,1611,-19.01637,-896,0,-155.3906,0,1,1,1,264
treetry,2090,-48.11144,-873,0,-155.3906,0,1,1,1,267
treetry,1911,-6.315222,-959,0,-155.3906,0,1,1,1,270
treetry,2008,-85.40899,-753,0,-155.3906,0,0.75,0.75,0.75,273
bpine1,1554,7.681317,-971,0,-155.3906,0,1.5,1.5,1.5,276
bpine1,2002,24.57969,-1081,0,-155.3906,0,0.65,0.65,0.65,279
bpine1,2044,-65.34572,-840,0,-155.3906,0,0.75,0.75,0.75,282
bpine1,1881,-15.10974,-939,0,-155.3906,0,1,1,1,285
treetry,3038,-10.31942,-854,0,-197.5781,0,1,1,1,288
treetry,2798,34.78432,-858,0,-197.5781,0,1,1,1,291
treetry,2637,101.847,-762,0,-197.5781,0,1,1,1,294
treetry,2829,22.4272,-1083,0,-197.5781,0,1,1,1,297
treetry,2855,2.273844,-625,0,-197.5781,0,1.5,1.5,1.5,300
bpine1,2570,46.15324,-855,0,-197.5781,0,1,1,1,303
bpine1,2995,-38.46112,-757,0,-197.5781,0,1,1,1,306
bpine1,2641,49.93486,-1089,0,-197.5781,0,0.65,0.65,0.65,309
bpine1,3188,31.9025,-920,0,-197.5781,0,1,1,1,312
bpine1,2813,50.15668,-1133,0,-197.5781,0,0.75,0.75,0.75,315
